word,category,url,,,,,,
Bear,Animals,https://publicdomainvectors.org/photos/YoungBrownBear.png,,,,,,
Camel,Animals,https://publicdomainvectors.org/photos/Kamel.png,,,,,,
Cat,Animals,https://publicdomainvectors.org/photos/blackcat2.png,,,,,,
Deer,Animals,https://publicdomainvectors.org/photos/deer-brown.png,,,,,,
Dog,Animals,https://publicdomainvectors.org/photos/johnny_automatic_big_earred_dog.png,,,,,,
Elephant,Animals,https://publicdomainvectors.org/photos/Elefant.png,,,,,,
Fox,Animals,https://publicdomainvectors.org/photos/Fuchs-coloured.png,,,,,,
Giraffe,Animals,https://publicdomainvectors.org/photos/giraffe-1.png,,,,,,
Gorilla,Animals,https://publicdomainvectors.org/photos/gorila.png,,,,,,
Kangaroo,Animals,https://publicdomainvectors.org/photos/publicdomainq-kangaroo.png,,,,,,
Lion,Animals,https://publicdomainvectors.org/photos/loewe.png,,,,,,
Monkey,Animals,https://publicdomainvectors.org/photos/monkey_nobg.png,,,,,,
Mouse,Animals,https://publicdomainvectors.org/photos/1360187800.png,,,,,,
Owl,Animals,https://publicdomainvectors.org/photos/Owl-3-Finished.png,,,,,,
Panda,Animals,https://publicdomainvectors.org/photos/Cute-Cartoon-Panda.png,,,,,,
Kitten,Animals,https://publicdomainvectors.org/photos/Sleeping-Kitty.png,,,,,,
Pig,Animals,https://publicdomainvectors.org/photos/Pig.png,,,,,,
Sheep,Animals,https://publicdomainvectors.org/photos/Sheep-.png,,,,,,
Lamb,Animals,https://publicdomainvectors.org/photos/pitr-Sheep-icon.png,,,,,,
Puppy,Animals,https://publicdomainvectors.org/photos/perro.png,,,,,,
Horse,Animals,https://publicdomainvectors.org/photos/Machovka_horse.png,,,,,,
Goat,Animals,https://publicdomainvectors.org/photos/gafr-mynydd.png,,,,,,
Duck,Animals,https://publicdomainvectors.org/photos/Gans-coloured.png,,,,,,
Goose,Animals,https://publicdomainvectors.org/photos/Gans-lineart.png,,,,,,
Bird,Animals,https://publicdomainvectors.org/photos/ave.png,,,,,,
Rat,Animals,https://publicdomainvectors.org/photos/da5id1_Mouse.png,,,,,,
Squirrel,Animals,https://publicdomainvectors.org/photos/PetitEcureuil.png,,,,,,
Tiger,Animals,https://publicdomainvectors.org/photos/044482e2.png,,,,,,
Zebra,Animals,https://publicdomainvectors.org/photos/Zebra-.png,,,,,,
Dolphin,Animals,https://publicdomainvectors.org/photos/dolphin-silhouette-freesvg.org.jpg,,,,,,
Turtle,Animals,https://publicdomainvectors.org/photos/turtle-1.png,,,,,,
Crocodile,Animals,https://publicdomainvectors.org/photos/Krokodil-coloured.png,,,,,,
Shark,Animals,https://publicdomainvectors.org/photos/The_Great_White_Shark.png,,,,,,
Apple,Fruits,https://publicdomainvectors.org/photos/simple-apple.png,,,,,,
Blueberries,Fruits,https://publicdomainvectors.org/photos/blueberry.png,,,,,,
Cherries,Fruits,https://publicdomainvectors.org/photos/nicubunu-Cherry.png,,,,,,
Mango,Fruits,https://publicdomainvectors.org/photos/mango_fruit.png,,,,,,
Watermelon,Fruits,https://publicdomainvectors.org/photos/Gerald_G_Simple_Fruit_(FF_Menu)_16.png,,,,,,
Kiwi,Fruits,https://publicdomainvectors.org/photos/kiwi.png,,,,,,
Orange,Fruits,https://publicdomainvectors.org/photos/Gerald_G_Simple_Fruit_(FF_Menu)_4.png,,,,,,
Pineapple,Fruits,https://publicdomainvectors.org/photos/nicubunu-Pineapple.png,,,,,,
Banana,Fruits,https://publicdomainvectors.org/photos/banana-400px.png,,,,,,
Strawberry,Fruits,https://publicdomainvectors.org/photos/Gerald_G_Simple_Fruit_(FF_Menu)_1.png,,,,,,
Grapes,Fruits,https://publicdomainvectors.org/photos/1486317161.png,,,,,,
Peach,Fruits,https://publicdomainvectors.org/photos/peach.png,,,,,,
Avocado,Fruits,https://publicdomainvectors.org/photos/laobc_Avocado.png,,,,,,
Bell Pepper,Vegetables,https://publicdomainvectors.org/photos/bell_pepper.png,,,,,,
Corn,Vegetables,https://publicdomainvectors.org/photos/1447981004.png,,,,,,
Cucumber,Vegetables,https://publicdomainvectors.org/photos/1453547668.png,,,,,,
Cauliflower,Vegetables,https://publicdomainvectors.org/photos/califlower.png,,,,,,
Lettuce,Vegetables,https://publicdomainvectors.org/photos/iceberg-lettuce.png,,,,,,
Eggplant,Vegetables,https://publicdomainvectors.org/photos/1512309712.png,,,,,,
Pumpkin,Vegetables,https://publicdomainvectors.org/photos/pumpkin-01.png,,,,,,
Tomato,Vegetables,https://publicdomainvectors.org/photos/1416249767.png,,,,,,
Onion,Vegetables,https://publicdomainvectors.org/photos/Zwiebel-coloured.png,,,,,,
Broccoli,Vegetables,https://publicdomainvectors.org/photos/1461983529.png,,,,,,
Carrot,Vegetables,https://publicdomainvectors.org/photos/carota.png,,,,,,
Peas,Vegetables,https://publicdomainvectors.org/photos/peas.png,,,,,,
Cabbage,Vegetables,https://publicdomainvectors.org/photos/food-cabbage.png,,,,,,
Mother,Family Members,https://publicdomainvectors.org/photos/publicdomainq-shop.png,,,,,,
Father,Family Members,https://publicdomainvectors.org/photos/publicdomainq-dad.png,,,,,,
Brother,Family Members,https://publicdomainvectors.org/photos/BOY.png,,,,,,
Sister,Family Members,https://publicdomainvectors.org/photos/cute_girl2.png,,,,,,
Grandma,Family Members,https://publicdomainvectors.org/photos/1527776196.png,,,,,,
Grandpa,Family Members,https://publicdomainvectors.org/photos/1527776262.png,,,,,, 
